State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn,Total_Calls,Total_minutes,Service_pressure,Call_Per_Day,min_per_day
KS,128,415,No,Yes,25,265.1,110,197.4,99,244.7,91,10.0,3,1,False,303,717.2,0.007751937984496124,2.3488372093023258,5.55968992248062
OH,107,415,No,Yes,26,161.6,123,195.5,103,254.4,103,13.7,3,1,False,332,625.2,0.009259259259259259,3.074074074074074,5.78888888888889
NJ,137,415,No,No,0,243.4,114,121.2,110,162.6,104,12.2,5,0,False,333,539.4000000000001,0.0,2.4130434782608696,3.908695652173914
OH,84,408,Yes,No,0,299.4,71,61.9,88,196.9,89,6.6,7,2,False,255,564.8,0.023529411764705882,3.0,6.644705882352941
OK,75,415,Yes,No,0,166.7,113,148.3,122,186.9,121,10.1,3,3,False,359,512.0,0.039473684210526314,4.723684210526316,6.7368421052631575
AL,118,510,Yes,No,0,223.4,98,220.6,101,203.9,118,6.3,6,0,False,323,654.1999999999999,0.0,2.7142857142857144,5.497478991596638
MA,121,510,No,Yes,24,218.2,88,348.5,108,212.6,118,7.5,7,3,False,321,786.8000000000001,0.02459016393442623,2.6311475409836067,6.449180327868853
MO,147,415,Yes,No,0,157.0,79,103.1,94,211.8,96,7.1,6,0,False,275,479.00000000000006,0.0,1.8581081081081081,3.236486486486487
WV,141,415,Yes,Yes,37,258.6,84,222.0,111,326.4,97,11.2,5,0,False,297,818.2,0.0,2.091549295774648,5.761971830985916
RI,74,415,No,No,0,187.7,127,163.4,148,196.0,94,9.1,5,0,False,374,556.2,0.0,4.986666666666666,7.416
IA,168,408,No,No,0,128.8,96,104.9,71,141.1,128,11.2,2,1,False,297,386.0,0.005917159763313609,1.757396449704142,2.2840236686390534
MT,95,510,No,No,0,156.6,88,247.6,75,192.3,115,12.3,5,3,False,283,608.8,0.03125,2.9479166666666665,6.341666666666666
IA,62,415,No,No,0,120.7,70,307.2,76,203.0,99,13.1,6,4,False,251,644.0,0.06349206349206349,3.984126984126984,10.222222222222221
ID,85,408,No,Yes,27,196.4,139,280.9,90,89.3,75,13.8,4,1,False,308,580.3999999999999,0.011627906976744186,3.5813953488372094,6.748837209302324
VT,93,510,No,No,0,190.7,114,218.2,111,129.6,121,8.1,3,3,False,349,546.6,0.031914893617021274,3.7127659574468086,5.814893617021277
VA,76,510,No,Yes,33,189.7,66,212.8,65,165.7,108,10.0,5,1,False,244,578.2,0.012987012987012988,3.168831168831169,7.50909090909091
TX,73,415,No,No,0,224.4,90,159.5,88,192.8,74,13.0,2,1,False,254,589.7,0.013513513513513514,3.4324324324324325,7.968918918918919
FL,147,415,No,No,0,155.1,117,239.7,93,208.8,133,10.6,4,0,False,347,614.1999999999999,0.0,2.3445945945945947,4.1499999999999995
CO,77,408,No,No,0,62.4,89,169.9,121,209.6,64,5.7,6,5,True,280,447.59999999999997,0.0641025641025641,3.58974358974359,5.738461538461538
AZ,130,415,No,No,0,183.0,112,72.9,99,181.8,78,9.5,19,0,False,308,447.20000000000005,0.0,2.351145038167939,3.4137404580152677
VA,132,510,No,No,0,81.1,86,245.2,72,237.0,115,10.3,2,0,False,275,573.5999999999999,0.0,2.0676691729323307,4.3127819548872175
NE,174,415,No,No,0,124.3,76,277.1,112,250.7,115,15.5,5,3,False,308,667.6,0.017142857142857144,1.76,3.814857142857143
WY,57,408,No,Yes,39,213.0,115,191.1,112,182.7,115,9.5,3,0,False,345,596.3,0.0,5.948275862068965,10.28103448275862
MT,54,408,No,No,0,134.3,73,155.5,100,102.1,68,14.7,4,3,False,245,406.59999999999997,0.05454545454545454,4.454545454545454,7.392727272727272
MO,20,415,No,No,0,190.0,109,258.2,84,181.5,102,6.3,6,0,False,301,636.0,0.0,14.333333333333334,30.285714285714285
IL,142,415,No,No,0,84.8,95,136.7,63,250.5,148,14.2,6,2,False,312,486.2,0.013986013986013986,2.1818181818181817,3.4
NH,75,510,No,No,0,226.1,105,201.5,107,246.2,98,10.3,5,1,False,315,684.0999999999999,0.013157894736842105,4.144736842105263,9.001315789473683
LA,172,408,No,No,0,212.0,121,31.2,115,293.3,78,12.6,10,3,False,324,549.1,0.017341040462427744,1.8728323699421965,3.1739884393063584
AZ,12,408,No,No,0,249.6,118,252.4,119,280.2,90,11.8,3,1,True,330,794.0,0.07692307692307693,25.384615384615383,61.07692307692308
OK,57,408,No,Yes,25,176.8,94,195.0,75,213.5,116,8.3,4,0,False,289,593.5999999999999,0.0,4.982758620689655,10.234482758620688
GA,72,415,No,Yes,37,220.0,80,217.3,102,152.8,71,14.7,6,3,False,259,604.8000000000001,0.0410958904109589,3.547945205479452,8.284931506849317
MA,78,415,No,No,0,130.8,64,223.7,116,227.8,108,10.0,5,1,False,293,592.3,0.012658227848101266,3.7088607594936707,7.497468354430379
AK,136,415,Yes,Yes,33,203.9,106,187.6,99,101.7,107,10.5,6,3,False,318,503.7,0.021897810218978103,2.321167883211679,3.6766423357664233
NJ,149,408,No,No,0,140.4,94,271.8,92,188.3,108,11.1,9,1,False,303,611.6,0.006666666666666667,2.02,4.077333333333334
GA,98,408,No,No,0,126.3,102,166.8,85,187.8,135,9.4,2,3,False,324,490.3,0.030303030303030304,3.272727272727273,4.952525252525253
MD,135,408,Yes,Yes,41,173.1,85,203.9,107,122.2,78,14.6,15,0,True,285,513.8,0.0,2.0955882352941178,3.7779411764705877
AR,34,510,No,No,0,124.8,82,282.2,98,311.5,78,10.0,4,2,False,262,728.5,0.05714285714285714,7.485714285714286,20.814285714285713
ID,160,415,No,No,0,85.8,77,165.3,110,178.5,92,9.2,4,3,False,283,438.8,0.018633540372670808,1.7577639751552796,2.725465838509317
WI,64,510,No,No,0,154.0,67,225.8,118,265.3,86,3.5,3,1,False,274,648.6,0.015384615384615385,4.2153846153846155,9.97846153846154
OR,59,408,No,Yes,28,120.9,97,213.0,92,163.1,116,8.5,5,2,False,310,505.5,0.03333333333333333,5.166666666666667,8.425
DE,142,408,No,No,0,187.0,133,134.6,74,242.2,127,7.4,5,2,False,339,571.1999999999999,0.013986013986013986,2.370629370629371,3.994405594405594
WY,97,415,No,Yes,24,133.2,135,217.2,58,70.6,79,11.0,3,1,False,275,432.0,0.01020408163265306,2.806122448979592,4.408163265306122
IA,52,408,No,No,0,191.9,108,269.8,96,236.8,87,7.8,5,3,False,296,706.3,0.05660377358490566,5.584905660377358,13.326415094339621
IN,60,408,No,No,0,220.6,57,211.1,115,249.0,129,6.8,3,1,False,304,687.5,0.01639344262295082,4.983606557377049,11.270491803278688
UT,96,415,No,No,0,160.2,117,267.5,67,228.5,68,9.3,5,2,False,257,665.5,0.020618556701030927,2.649484536082474,6.860824742268041
WY,87,415,No,No,0,151.0,83,219.7,116,203.9,127,9.7,3,5,True,329,584.3000000000001,0.056818181818181816,3.7386363636363638,6.639772727272728
IN,81,408,No,No,0,175.5,67,249.3,85,270.2,98,10.2,3,1,False,253,705.2,0.012195121951219513,3.0853658536585367,8.600000000000001
CO,141,415,No,No,0,126.9,98,180.0,62,140.8,128,8.0,2,1,False,290,455.7,0.007042253521126761,2.0422535211267605,3.2091549295774646
CO,121,408,No,Yes,30,198.4,129,75.3,77,181.2,77,5.8,3,3,True,286,460.7,0.02459016393442623,2.3442622950819674,3.7762295081967214
OK,125,408,No,No,0,229.3,103,177.4,126,189.3,95,12.0,8,1,False,332,608.0,0.007936507936507936,2.634920634920635,4.825396825396825
ID,174,408,No,No,0,192.1,97,169.9,94,166.6,54,11.4,4,1,False,249,540.0,0.005714285714285714,1.4228571428571428,3.085714285714286
CA,116,415,No,Yes,34,268.6,83,178.2,142,166.3,106,11.6,3,2,False,334,624.7,0.017094017094017096,2.8547008547008548,5.33931623931624
SD,149,408,No,Yes,28,180.7,92,187.8,64,265.5,53,12.6,3,3,False,212,646.6,0.02,1.4133333333333333,4.310666666666667
NC,38,408,No,No,0,131.2,98,162.9,97,159.0,106,8.2,6,2,False,307,461.3,0.05128205128205128,7.871794871794871,11.828205128205129
WA,40,415,No,Yes,41,148.1,74,169.5,88,214.1,102,6.2,5,2,False,269,537.9000000000001,0.04878048780487805,6.560975609756097,13.119512195121953
WY,43,415,Yes,No,0,251.5,105,212.8,104,157.8,67,9.3,4,0,False,280,631.4,0.0,6.363636363636363,14.35
MN,113,408,Yes,No,0,125.2,93,206.4,119,129.3,139,8.3,8,0,False,359,469.20000000000005,0.0,3.1491228070175437,4.115789473684211
UT,126,408,No,No,0,211.6,70,216.9,80,153.5,60,7.8,1,1,False,211,589.8,0.007874015748031496,1.6614173228346456,4.644094488188976
TX,150,510,No,No,0,178.9,101,169.1,110,148.6,100,13.8,3,4,True,314,510.40000000000003,0.026490066225165563,2.0794701986754967,3.380132450331126
NJ,138,408,No,No,0,241.8,93,170.5,83,295.3,104,11.8,7,3,False,287,719.4,0.02158273381294964,2.064748201438849,5.175539568345323
MN,162,510,No,Yes,46,224.9,97,188.2,84,254.6,61,12.1,2,0,False,244,679.8000000000001,0.0,1.4969325153374233,4.170552147239264
NM,147,510,No,No,0,248.6,83,148.9,85,172.5,109,8.0,4,3,False,281,578.0,0.02027027027027027,1.8986486486486487,3.9054054054054053
NV,90,415,No,No,0,203.4,146,226.7,117,152.4,105,7.3,4,1,False,372,589.8,0.01098901098901099,4.087912087912088,6.4813186813186805
MN,50,415,No,No,0,157.1,90,223.3,72,181.4,111,6.1,2,1,False,275,567.9,0.0196078431372549,5.392156862745098,11.135294117647058
DC,82,415,No,No,0,300.3,109,181.0,100,270.1,73,11.7,4,0,True,286,763.1000000000001,0.0,3.4457831325301207,9.19397590361446
NY,144,408,No,No,0,61.6,117,77.1,85,173.0,99,8.2,7,4,True,308,319.9,0.027586206896551724,2.1241379310344826,2.206206896551724
MD,70,408,No,No,0,170.2,98,155.2,102,228.6,76,15.0,2,1,False,278,569.0,0.014084507042253521,3.915492957746479,8.014084507042254
WV,144,415,No,No,0,201.1,99,303.5,74,224.0,119,13.2,2,1,False,294,741.8000000000001,0.006896551724137931,2.027586206896552,5.115862068965518
OR,116,415,Yes,No,0,215.4,104,204.8,79,278.5,109,12.6,5,3,False,297,711.3000000000001,0.02564102564102564,2.5384615384615383,6.07948717948718
CO,55,408,No,Yes,25,165.6,123,136.1,95,175.7,90,11.0,2,3,False,310,488.4,0.05357142857142857,5.535714285714286,8.721428571428572
GA,70,415,No,Yes,24,249.5,101,259.7,98,222.7,68,9.8,4,1,False,271,741.6999999999999,0.014084507042253521,3.816901408450704,10.446478873239435
