State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn
KS,128,415,No,Yes,25,265.1,110,197.4,99,244.7,91,10.0,3,1,False
OH,107,415,No,Yes,26,161.6,123,195.5,103,254.4,103,13.7,3,1,False
NJ,137,415,No,No,0,243.4,114,121.2,110,162.6,104,12.2,5,0,False
OH,84,408,Yes,No,0,299.4,71,61.9,88,196.9,89,6.6,7,2,False
OK,75,415,Yes,No,0,166.7,113,148.3,122,186.9,121,10.1,3,3,False
AL,118,510,Yes,No,0,223.4,98,220.6,101,203.9,118,6.3,6,0,False
MA,121,510,No,Yes,24,218.2,88,348.5,108,212.6,118,7.5,7,3,False
MO,147,415,Yes,No,0,157.0,79,103.1,94,211.8,96,7.1,6,0,False
WV,141,415,Yes,Yes,37,258.6,84,222.0,111,326.4,97,11.2,5,0,False
RI,74,415,No,No,0,187.7,127,163.4,148,196.0,94,9.1,5,0,False
IA,168,408,No,No,0,128.8,96,104.9,71,141.1,128,11.2,2,1,False
MT,95,510,No,No,0,156.6,88,247.6,75,192.3,115,12.3,5,3,False
IA,62,415,No,No,0,120.7,70,307.2,76,203.0,99,13.1,6,4,False
ID,85,408,No,Yes,27,196.4,139,280.9,90,89.3,75,13.8,4,1,False
VT,93,510,No,No,0,190.7,114,218.2,111,129.6,121,8.1,3,3,False
VA,76,510,No,Yes,33,189.7,66,212.8,65,165.7,108,10.0,5,1,False
TX,73,415,No,No,0,224.4,90,159.5,88,192.8,74,13.0,2,1,False
FL,147,415,No,No,0,155.1,117,239.7,93,208.8,133,10.6,4,0,False
CO,77,408,No,No,0,62.4,89,169.9,121,209.6,64,5.7,6,5,True
AZ,130,415,No,No,0,183.0,112,72.9,99,181.8,78,9.5,19,0,False
VA,132,510,No,No,0,81.1,86,245.2,72,237.0,115,10.3,2,0,False
NE,174,415,No,No,0,124.3,76,277.1,112,250.7,115,15.5,5,3,False
WY,57,408,No,Yes,39,213.0,115,191.1,112,182.7,115,9.5,3,0,False
MT,54,408,No,No,0,134.3,73,155.5,100,102.1,68,14.7,4,3,False
MO,20,415,No,No,0,190.0,109,258.2,84,181.5,102,6.3,6,0,False
IL,142,415,No,No,0,84.8,95,136.7,63,250.5,148,14.2,6,2,False
NH,75,510,No,No,0,226.1,105,201.5,107,246.2,98,10.3,5,1,False
LA,172,408,No,No,0,212.0,121,31.2,115,293.3,78,12.6,10,3,False
AZ,12,408,No,No,0,249.6,118,252.4,119,280.2,90,11.8,3,1,True
OK,57,408,No,Yes,25,176.8,94,195.0,75,213.5,116,8.3,4,0,False
GA,72,415,No,Yes,37,220.0,80,217.3,102,152.8,71,14.7,6,3,False
MA,78,415,No,No,0,130.8,64,223.7,116,227.8,108,10.0,5,1,False
